308   Mints        1.78   100   85   80   77
137   Bread        3.95    50   50   47   55
485   Soup         0.49    51   53   49   43
217   Yogurt       1.11    67   64   57   58
945   Pencil       1.29    11   10    9   12
607   Pen          2.49     8    4   12    5
642   Chips        3.66    21   25   28   27
735   Coffee      10.52     8   10    9   11
300   Pickles      3.44    16   17   16   16
299   Mushrooms    1.19     7    5    7    3
435   Peppers      1.75     6    8    8   10
116   Chili        2.88    18   15   11   16
218   Mayonnaise   3.03    61   60   30   43
830   Eraser       0.17    41   40   25   43
695   Paper        2.29    12   15    8   13
708   Salsa        1.35    18   19   22   20
325   Ketchup      2.28     9    8   10    7
339   Mustard      1.09     5    4    6    3
418   Book         7.49    25   27   22   21
225   Lettuce      1.79    15   13   14   17
180   Hamburger    3.67    23   25   32   25
925   Buns         2.49    20   22   19   23
455   Onions       0.44     7    9    5   10
347   Steak        8.00     8    5   13   15
